                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0887,                 4.4415,                 1.8758,                0.00672,                0.91366,                0.02805,                0.02422,                0.77786,                 86.915,                  1.648,             3.2576e-05,             3.2576e-05,             3.2576e-05
                     33,                 1.0753,                 4.4278,                 1.8734,                0.00685,                0.93297,                0.03098,                 0.0262,                0.73902,                 47.168,                 1.6009,              3.211e-05,              3.211e-05,              3.211e-05
                     34,                 1.0579,                 4.3929,                 1.8338,                0.00693,                0.92231,                0.03061,                0.02569,                0.72803,                 76.269,                 1.6119,             3.1645e-05,             3.1645e-05,             3.1645e-05
                     35,                  1.045,                  4.363,                 1.8343,                0.02457,                0.76418,                0.03159,                0.02769,                0.70127,                 45.081,                 1.5576,              3.118e-05,              3.118e-05,              3.118e-05
                     36,                0.99475,                 4.3272,                 1.7897,                0.00715,                0.93069,                0.03289,                0.02896,                0.68954,                 45.484,                 1.5603,             3.0714e-05,             3.0714e-05,             3.0714e-05
                     37,                 1.0236,                 4.3269,                 1.8007,                0.09958,                0.57262,                0.04038,                0.03566,                0.64863,                 45.657,                 1.4932,             3.0249e-05,             3.0249e-05,             3.0249e-05
                     38,                0.98965,                 4.2992,                 1.7686,                0.00717,                0.92477,                0.03557,                 0.0319,                0.64018,                 39.804,                 1.4975,             2.9784e-05,             2.9784e-05,             2.9784e-05
                     39,                0.98908,                 4.2625,                 1.7662,                0.00708,                0.94007,                0.03852,                0.03471,                 0.6373,                 40.129,                  1.459,             2.9319e-05,             2.9319e-05,             2.9319e-05
                     40,                0.98038,                 4.2515,                 1.7462,                0.00714,                0.94281,                0.03506,                0.03139,                0.62005,                 34.469,                 1.4639,             2.8853e-05,             2.8853e-05,             2.8853e-05
                     41,                0.96757,                 4.2335,                 1.7436,                0.00681,                0.93934,                0.03817,                 0.0342,                0.60129,                 51.962,                 1.4471,             2.8388e-05,             2.8388e-05,             2.8388e-05
                     42,                0.94576,                 4.2218,                 1.7183,                0.00698,                0.94162,                0.03431,                0.03101,                0.63278,                 45.336,                 1.4649,             2.7923e-05,             2.7923e-05,             2.7923e-05
                     43,                0.94411,                 4.1987,                 1.7083,                0.00733,                  0.948,                0.03651,                0.03299,                  0.606,                 31.608,                 1.4366,             2.7457e-05,             2.7457e-05,             2.7457e-05
                     44,                0.92784,                 4.1803,                 1.7024,                0.00733,                0.94344,                0.03803,                0.03498,                0.57756,                 22.746,                 1.4086,             2.6992e-05,             2.6992e-05,             2.6992e-05
                     45,                 0.9212,                  4.167,                 1.6978,                0.00742,                0.95073,                0.04378,                0.03885,                0.61648,                 33.011,                 1.4401,             2.6527e-05,             2.6527e-05,             2.6527e-05
                     46,                0.91352,                  4.168,                 1.6857,                0.00754,                0.94736,                0.04155,                0.03758,                0.62141,                 27.899,                 1.4489,             2.6061e-05,             2.6061e-05,             2.6061e-05
